,,,"","",,,,
,,,"","",,,,
,,,"","",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"",,"",
"N錰㡽聞႕鞘㙻⽥٥","","","","","","","",""
"","462863857","100","445713296","100","406090904","100","17150561","4.22"
"","102603501","22.16","98124191","22.01","102423300","25.22","4479310","1.1"
"","92794172","20.05","85513186","19.19","82309224","20.27","7280986","1.79"
"","267466184","57.79","262075919","58.8","221358380","54.51","5390265","1.33"
"","402952946","100","388271213","100","347739884","100","14681733","4.22"
"","390745206","96.97","378489849","97.48","342893663","98.61","12255357","3.52"
"","10182310","2.53","7751312","2","4846201","1.39","2430998","0.7"
"","2025430","0.5","2030052","0.52","20","0","-4622","0"
"","59910911",,"57442083",,"58351020",,"2468828",
,,,,,,,,
"",,,,,,,,
"","6142774","100","5537736","100","4809505","100","605038","12.58"
"","6069247","98.8","4961146","89.59","3809862","79.22","1108101","23.04"
"","73527","1.2","576590","10.41","999643","20.78","-503063","-10.46"
"","97098210","100","97155482","100","97722405","100","-57272","-0.05"
"","90395433","93.1","91140656","93.81","97201882","99.47","-745223","-0.76"
"","1513565","1.56","1125158","1.16","253281","0.26","388407","0.4"
"","5189212","5.34","4889668","5.03","267242","0.27","299544","0.31"
"","-90955436",,"-91617746",,"-92912900",,"662310",
"","-31044525",,"-34175663",,"-34561880",,"3131138",
"",,,,,,,,
,,,
,,,

