,,,"","",,,,
,,,"","",,,,
,,,"","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","527709143","100","493198581","100","490885610","100","34510562","6.99729547680917"
"","220396635","41.77","214055027","43.42","226932652","46.24","6341608","2.96260643297109"
"","425","0","5","0","2625","0","420","8400"
"","10973242","2.08","10177280","2.06","13106890","2.67","795962","7.82096984656018"
"","15035977","2.85","14201731","2.88","13579817","2.77","834246","5.87425575093628"
"","6011","0","6039","0","11912","0","-28","-0.463652922669316"
"","8498663","1.61","9976314","2.02","9840722","2","-1477651","-14.8115927385606"
"","6144404","1.16","3367399","0.68","14991313","3.05","2777005","82.4673583379932"
"","251339615","47.63","227485862","46.12","196639891","40.06","23853753","10.4858177955692"
"","3651109","0.69","3239762","0.66","3606295","0.73","411347","12.6968277299382"
"","84931","0.02","71931","0.01","20989","0","13000","18.0728753944753"
"","11578131","2.19","10617231","2.15","12152504","2.48","960900","9.05038234545335"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","561884806","100","536962561","100","524392334","100","24922245","4.64133755500321"
"","59268788","10.55","59100543","11.01","57162380","10.91","168245","0.284675895448203"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","205881685","36.64","201600858","37.54","194050862","37","4280827","2.12341705410797"
"","75060540","13.36","64019929","11.92","83772699","15.98","11040611","17.245584574141"
"","60257663","10.72","57594539","10.73","55290435","10.54","2663124","4.62391755579466"
"","19599779","3.49","21377315","3.98","21609191","4.12","-1777536","-8.31505733998867"
"","57950198","10.31","52694461","9.81","44799953","8.54","5255737","9.97398379309734"
"","60171688","10.71","58469675","10.89","55671037","10.62","1702013","2.91093288957053"
"","8724964","1.55","7734504","1.44","4679236","0.89","990460","12.8057338906283"
"","773961","0.14","1017186","0.19","1848268","0.35","-243225","-23.9115559986079"
"","14195540","2.53","13353551","2.49","5508273","1.05","841989","6.30535653025925"
,,,,,,,,
"","-34175663",,"-43763980",,"-33506724",,"9588317",
,,,,,

