,,,"各縣(市)","總預算彙編",,,,
,,,"","",,,,
,,,"","",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"",,"",
"N錰㡽聞႕鞘㙻⽥٥","","","","","","","",""
"","500753052","100","462863857","100","423538457","100","37889195","8.19"
"","106271966","21.22","102603501","22.16","105975556","25.02","3668465","3.58"
"","96831337","19.34","92794172","20.05","84408138","19.93","4037165","4.35"
"","297649749","59.44","267466184","57.79","233154763","55.05","30183565","11.29"
"","410716103","100","402952946","100","356212822","100","7763157","1.93"
"","397568650","96.8","390937111","97.02","350079321","98.27","6631539","1.7"
"","10727776","2.61","9990405","2.48","6114851","1.72","737371","7.38"
"","2419677","0.59","2025430","0.5","18650","0.01","394247","19.46"
"","90036949",,"59910911",,"67325635",,"30126038",
,,,,,,,,
"",,,,,,,,
"","8313537","100","6142774","100","5979787","100","2170763","35.34"
"","7561177","90.95","6069247","98.8","5321251","88.99","1491930","24.58"
"","752360","9.05","73527","1.2","658536","11.01","678833","923.24"
"","121590013","100","97098210","100","105750548","100","24491803","25.22"
"","113657852","93.47","90395433","93.09","101726942","96.2","23262419","25.73"
"","2535865","2.09","1513565","1.56","1196895","1.13","1022300","67.54"
"","5396296","4.44","5189212","5.34","2826711","2.67","207084","3.99"
"","-113276476",,"-90955436",,"-99770761",,"-22321040",
"","-23239527",,"-31044525",,"-32445126",,"7804998",
"",,,,,,,,
,,,
,,,

