,,"各縣(市)","總預算彙編",,,,,,,,,
,,"","",,,,,,,,,
,,"中華民國","九十年度",,"",,"收支性質表",,,,,
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"     前 年 度 決 算 數",,"對照科目","本年度部分與簡明比較分析表勾稽","上年度部分與簡明比較表勾稽","前年度部分與簡明比較表勾稽","本年度部分與融資調度財源比較分析表勾稽","本年度部分與歲入來源別及歲出政事別等總表勾稽"
"N錰㡽聞႕鞘㙻⽥୥","","    Ñ‘    M˜0ÿ
    金    額(N)“","","    Ñ‘    M˜0ÿ
    金    額(N)“","","    Ñ‘    M˜0ÿ
    金    額(N)“",,,,,,
"","435625944","100","562703509","100","371491390","100","","ERROR","ERROR","ERROR","","ERROR"
"","121870085","27.97","178586393","31.74","121465452","32.7","","ERROR","ERROR","ERROR","","ERROR"
"","84412318","19.38","115844580","20.59","56703856","15.26",,,,,,
"","229343541","52.65","268272536","47.67","193322082","52.04",,,,,,
"","389543088","100","510461980","100","316998328","100","","ERROR","ERROR","ERROR","","ERROR"
"","376306712","96.6","499812048","97.91","314741865","99.29",,,,,,
"","9845909","2.53","5806809","1.14","1960466","0.62","","ERROR","ERROR","ERROR","","ERROR"
"","3390467","0.87","4843123","0.95","295997","0.09","",,"ERROR",,,
"","46082856",,"52241529",,"54493062",,,,,,,
,,,,,,,,,,,,
"",,,,,,,,,,,,
"","13597802","100","8443528","100","32075923","100",,,,,"","ERROR"
"","12758621","93.83","6500272","76.99","7826224","24.4",,,,,"","ERROR"
"","839181","6.17","1943256","23.01","999046","3.12",,,,,,
"","0","0","0","0","14108141","43.98","",,"ERROR","ERROR",,
"","0","0","0","0","9142512","28.5","","ERROR","ERROR","ERROR",,
"","83323168","100","104836948","100","104077151","100",,,,,"","ERROR"
"","78201063","93.86","97989628","93.47","90072403","86.54",,,,,,
"","2251843","2.7","3274515","3.12","6500326","6.25",,,,,,
"","2870262","3.44","3572805","3.41","462195","0.44","",,"ERROR",,,
"","0","0","0","0","7042227","6.77",,,,,,
"","-69725366",,"-96393420",,"-72001228",,,,,,,
"","-23642510",,"-44151891",,"-17508166",,"","ERROR","ERROR","ERROR","ERROR",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,

