,,,"","總預算彙編",,,,
,,,"","",,,,
,,,"中華民國","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","493198581","100","501920462","100","487993065","100","-8721881","-1.73770181937711"
"","214055027","43.4","206914106","41.21","214416715","43.95","7140921","3.4511523346794"
"","5","0","5","0","2988","0","0","0"
"","10177280","2.06","10172024","2.03","14890678","3.05","5256","0.0516711325101081"
"","14201731","2.88","13160432","2.62","11818234","2.42","1041299","7.91234664637149"
"","6039","0","1626","0","2624","0","4413","271.40221402214"
"","9976314","2.02","8761019","1.75","6901565","1.41","1215295","13.8716169888457"
"","3367399","0.68","16342623","3.26","2007135","0.41","-12975224","-79.3949906327766"
"","227485862","46.14","233685022","46.56","219077929","44.89","-6199160","-2.65278448183983"
"","3239762","0.66","2394401","0.48","3690296","0.76","845361","35.3057403500917"
"","71931","0.01","19000","0","0","0","52931","278.584210526316"
"","10617231","2.15","10470204","2.09","15184901","3.11","147027","1.40424198038548"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","536962561","100","549303784","100","522731958","100","-12341223","-2.24670270977052"
"","59069474","11","59425856","10.8","52811831","10.11","-356382","-0.599708652072256"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","201600858","37.54","204116514","37.16","193205220","36.96","-2515656","-1.2324607895273"
"","64019929","11.92","75131188","13.68","84595703","16.18","-11111259","-14.7891432250479"
"","57594539","10.73","57444919","10.46","52499487","10.04","149620","0.260458196485576"
"","21408384","3.99","23270847","4.24","27638275","5.29","-1862463","-8.00341732297067"
"","52694461","9.81","50136850","9.13","41868924","8.01","2557611","5.10125985178566"
"","58469675","10.89","57343156","10.44","53807434","10.29","1126519","1.96452214803106"
"","7734504","1.44","6702618","1.22","4247700","0.81","1031886","15.3952679385876"
"","1017186","0.19","1858990","0.34","6641783","1.27","-841804","-45.2828686544844"
"","13353551","2.49","13872846","2.53","5415601","1.04","-519295","-3.74324778059239"
,,,,,,,,
"","-43763980",,"-47383322",,"-34738893",,"3619342",

