,,,"各直轄市及縣(市)","總預算彙編",,,,
,,,"歲 入 歲  出  性  質  及  餘","絀  簡  明  比  較 分  析  表",,,,
,,,"中 華 民 國","100 年 度",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"前 年 度 決 算 數",,"本年度與上年度比較",
"N錰㡽聞ƕ","金    額","","金    額","","金    額","","金    額",""
"","928661848","100","870814166","100","830664920","100","57847682","6.64"
"1.直接稅收入","231750415","24.96","215484592","24.75","215807281","25.98","16265823","7.55"
"2.間接稅收入","188240947","20.27","182809962","20.99","174676778","21.03","5430985","2.97"
"3.賦稅外收入","508670486","54.77","472519612","54.26","440180861","52.99","36150874","7.65"
"增加率","820718184","100","741548573","100","664697839","100","79169611","10.68"
"(N)rk","800569512","97.55","716355878","96.6","650586924","97.88","84213634","11.76"
"2.債務利息及事務支出","12253459","1.49","15242696","2.06","12617711","1.9","-2989237","-19.61"
"3.預備金","7895213","0.96","9949999","1.34","1493204","0.22","-2054786","-20.65"
"","107943664",,"129265593",,"165967081",,"-21321929",
,,,,,,,,
"",,,,,,,,
"","12037220","100","14108970","100","11515610","100","-2071750","-14.68"
"","7993908","66.41","12134577","86.01","10040030","87.19","-4140669","-34.12"
"","4043312","33.59","1974393","13.99","1475580","12.81","2068919","104.79"
"增加率","203131326","100","214750954","100","265952776","100","-11619628","-5.41"
"","188421396","92.76","201916318","94.02","260097179","97.79","-13494922","-6.68"
"","6132303","3.02","2937875","1.37","2327999","0.88","3194428","108.73"
"3.預備金","8577627","4.22","9896761","4.61","3527598","1.33","-1319134","-13.33"
"","-191094106",,"-200641984",,"-254437166",,"9547878",
"","-83150442",,"-71376391",,"-88470085",,"-11774051",
,,,
,,,
,,,,,"",,,,,,,,,,"",,,,,,
,,,,,"",,,,,,,,,"",,,,,,,
,,,,,,"",,,,,"單位：新臺幣千元",,,,,"中華民國100年度",,,,,"單位：新臺幣千元"
,"","","","1.直接稅收入","2.間接稅收入","3.賦稅外收入","","","2.債務利息及事務支出","3.預備金","","","","","","","","","預備金","",""
,"本年度
預算數",,,,,,,,,,,,,,,,,,,,
,"總  計",,"928661848","231750415","188240947","508670486","820718184","800569512","12253459","7895213","107943664",,"12037220","7993908","4043312","203131326","188421396","6132303","8577627","-191094106","-83150442"
,"",,"632299224","189839524","137121974","305337726","577805857","566439262","7605002","3761593","54493367",,"5434607","3906224","1528383","132288018","123357745","3669006","5261267","-126853411","-72360044"
,"",,"155793742","50566666","42147723","63079353","144962753","142418214","1729120","815419","10830989",,"486494","376133","110361","31967704","28705764","2253140","1008800","-31481210","-20650221"
,"",,"140349354","42802567","18345851","79200936","122985695","120972131","1228064","785500","17363659",,"253987","200390","53597","32217646","31097646","0","1120000","-31963659","-14600000"
,"",,"89760046","32553804","20177947","37028295","84843970","83595270","811200","437500","4916076",,"850500","850500","0","18133591","16870591","13000","1250000","-17283091","-12367015"
,"",,"74020325","20838557","14806582","38375186","65117566","63668566","934000","515000","8902759",,"14425","0","14425","12766993","12078928","6065","682000","-12752568","-3849809"
,"",,"115089958","24595000","28838444","61656514","109260200","105594408","2537618","1128174","5829758",,"3310000","2110000","1200000","25732757","24565840","587500","579417","-22422757","-16592999"
,"桃園縣",,"57285799","18482930","12805427","25997442","50635673","50190673","365000","80000","6650126",,"519201","369201","150000","11469327","10038976","809301","621050","-10950126","-4300000"
