,,,"各直轄市及縣(市)","總預算彙編",,,,
,,,"歲 入 歲  出  性  質  及  餘","絀  簡  明  比  較 分  析  表",,,,
,,,"中 華 民 國","101 年 度",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"前 年 度 決 算 數",,"本年度與上年度比較",
"N錰㡽聞ƕ","金    額","","金    額","","金    額","","金    額",""
"","934781090","100","928661848","100.01","889834429","100","6119242","0.66"
"1.直接稅收入","256761369","27.47","231750415","24.97","243693356","27.38","25010954","10.79"
"2.間接稅收入","209897397","22.45","188240947","20.27","188360456","21.17","21656450","11.5"
"3.賦稅外收入","468122324","50.08","508670486","54.77","457780617","51.45","-40548162","-7.97"
"","856384491","100","820718184","100","695109986","100","35666307","4.35"
"","835178315","97.52","800569512","97.55","683595306","98.34","34608803","4.32"
"2.債務利息及事務支出","14008495","1.64","12253459","1.49","9774626","1.41","1755036","14.32"
"3.預備金","7197681","0.84","7895213","0.96","1740054","0.25","-697532","-8.83"
"","78396599",,"107943664",,"194724443",,"-29547065",
,,,,,,,,
"",,,,,,,,
"","25360246","100","12037220","100","10125835","100","13323026","110.68"
"","17278234","68.13","7993908","66.41","7851622","77.54","9284326","116.14"
"","8082012","31.87","4043312","33.59","2274213","22.46","4038700","99.89"
"","184803723","100","203131326","100","253202627","100","-18327603","-9.02"
"","165447748","89.53","188421396","92.76","247668739","97.82","-22973648","-12.19"
"","10669798","5.77","6132303","3.02","3343869","1.32","4537495","73.99"
"3.預備金","8686177","4.7","8577627","4.22","2190019","0.86","108550","1.27"
"","-159443477",,"-191094106",,"-243076792",,"31650629",
"","-81046878",,"-83150442",,"-48352349",,"2103564",
,,,,,,,,
,,,
,,,
,,,,,"",,,,,,,,,,"",,,,,,
,,,,,"",,,,,,,,,"",,,,,,,
,,,,,,"",,,,,"單位：新臺幣千元",,,,,"中華民國101年度",,,,,"單位：新臺幣千元"
,"","","","1.直接稅收入","2.間接稅收入","3.賦稅外收入","","","2.債務利息及事務支出","3.預備金","","","","","","","","","預備金","",""
,"本年度
預算數",,,,,,,,,,,,,,,,,,,,
,"總  計",,"934781090","256761369","209897397","468122324","856384491","835178315","14008495","7197681","78396599",,"25360246","17278234","8082012","184803723","165447748","10669798","8686177","-159443477","-81046878"
,"",,"637597944","211234933","154705097","271657914","605240331","592333439","9293413","3613479","32357613",,"19745056","11664115","8080941","124087067","108815718","9904914","5366435","-104342011","-71984398"
,"",,"160211842","55855381","44477964","59878497","155780971","152157369","2805243","818359","4430871",,"575345","575345","0","28537294","23894978","3630866","1011450","-27961949","-23531078"
,"",,"135981519","47476201","26766280","61739038","127337267","125399348","1060119","877800","8644252",,"2741030","2520325","220705","30111510","28991510","0","1120000","-27370480","-18726228"
,"",,"96145175","35422518","22078936","38643721","87809918","86923218","793000","93700","8335257",,"2250100","2250100","0","19098305","17462805","115500","1520000","-16848205","-8512948"
,"",,"74627316","22562931","16199684","35864701","71389597","69353479","1521118","515000","3237719",,"8960236","3700000","5260236","15843520","9810680","5256840","776000","-6883284","-3645565"
,"",,"110292470","30650000","31317589","48324881","110017025","106189472","2598933","1228620","275445",,"4905967","2405967","2500000","21249991","20682776","250230","316985","-16344024","-16068579"
,"桃園縣",,"60339622","19267902","13864644","27207076","52905553","52310553","515000","80000","7434069",,"312378","212378","100000","9246447","7972969","651478","622000","-8934069","-1500000"
