,,,"各縣(市)","總預算彙編",,,,
,,,"歲 入 歲  出  性  質  及  餘","絀  簡  明  比  較 分  析  表",,,,
,,,"中 華 民 國","99 年 度",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"前 年 度 決 算 數",,"本年度與上年度比較",
"N錰㡽聞ƕ","金    額","","金    額","","金    額","","金    額",""
"","514643372","100","500753052","100","470327697","100","13890320","2.77"
"1.直接稅收入","99408173","19.32","106271966","21.22","102772150","21.85","-6863793","-6.46"
"2.間接稅收入","86572481","16.82","96831337","19.34","88127224","18.74","-10258856","-10.59"
"3.賦稅外收入","328662718","63.86","297649749","59.44","279428323","59.41","31012969","10.42"
"","421327904","100","410716103","100","366521241","100","10611801","2.58"
"","407556291","96.73","397568650","96.8","358863053","97.91","9987641","2.51"
"2.債務利息及事務支出","8156525","1.94","10727776","2.61","7573829","2.07","-2571251","-23.97"
"3.預備金","5615088","1.33","2419677","0.59","84359","0.02","3195411","132.06"
"","93315468",,"90036949",,"103806456",,"3278519",
,,,,,,,,
"",,,,,,,,
"","9129611","100","8313537","100","4481561","100","816074","9.82"
"","9063522","99.28","7561177","90.95","3812996","85.08","1502345","19.87"
"","66089","0.72","752360","9.05","668565","14.92","-686271","-91.22"
"","127438054","100","121590013","100","127591462","100","5848041","4.81"
"","119611747","93.86","113657852","93.47","122706860","96.17","5953895","5.24"
"","672742","0.53","2535865","2.09","1952204","1.53","-1863123","-73.47"
"3.預備金","7153565","5.61","5396296","4.44","2932398","2.3","1757269","32.56"
"","-118308443",,"-113276476",,"-123109901",,"-5031967",
"","-24992975",,"-23239527",,"-19303445",,"-1753448",
"",,,,,,,,,
,,,
,,,

