,,,"各直轄市及縣(市)","總預算彙編",,,,
,,,"歲 入 歲  出  性  質  及  餘","絀  簡  明  比  較 分  析  表",,,,
,,,"中 華 民 國","103 年 度",,,"     單位：新臺幣千元",
"      項        目","本 年 度 預 算 數",,"上 年 度 預 算 數",,"前 年 度 決 算 數",,"本年度與上年度比較",
"N錰㡽聞ƕ","金    額","","金    額","","金    額","","金    額",""
"","924469051","100","918168179","100","916084813","100","6300872","0.69"
"1.直接稅收入","276287201","29.89","264043891","28.76","262170099","28.62","12243310","4.64"
"2.間接稅收入","219487171","23.74","219260314","23.88","209806485","22.9","226857","0.1"
"3.賦稅外收入","428694679","46.37","434863974","47.36","444108229","48.48","-6169295","-1.42"
"","840291730","100","831720908","100","808111032","100","8570822","1.03"
"","821194307","97.72","811750325","97.6","797703555","98.71","9443982","1.16"
"2.債務利息及事務支出","13249957","1.58","13756792","1.65","10176142","1.26","-506835","-3.68"
"3.預備金","5847466","0.7","6213791","0.75","231335","0.03","-366325","-5.9"
"","84177321",,"86447271",,"107973781",,"-2269950",
,,,,,,,,
"",,,,,,,,
"","21481843","100","34619963","100","18418668","100","-13138120","-37.95"
"","19841798","92.37","32429096","93.67","15337946","83.27","-12587298","-38.81"
"","1640045","7.63","2190867","6.33","3080722","16.73","-550822","-25.14"
"","197513760","100","194477840","100","189304469","100","3035920","1.56"
"","169909849","86.03","165428869","85.06","168039512","88.77","4480980","2.71"
"","18333023","9.28","20052738","10.31","15409637","8.14","-1719715","-8.58"
"3.預備金","9270888","4.69","8996233","4.63","5855320","3.09","274655","3.05"
"","-176031917",,"-159857877",,"-170885801",,"-16174040",
"","-91854596",,"-73410606",,"-62912020",,"-18443990",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,
,,,
,,,,,"",,,,,,,,,,"",,,,,,
,,,,,"",,,,,,,,,"",,,,,,,
,,,,,,"",,,,,"單位：新臺幣千元",,,,,"中華民國103年度",,,,,"單位：新臺幣千元"
,"","","","1.直接稅收入","2.間接稅收入","3.賦稅外收入","","","2.債務利息及事務支出","3.預備金","","","","","","","","","預備金","",""
,"本年度
預算數",,,,,,,,,,,,,,,,,,,,
,"總  計",,"924469051","276287201","219487171","428694679","840291730","821194307","13249957","5847466","84177321",,"21481843","19841798","1640045","197513760","169909849","18333023","9270888","-176031917","-91854596"
,"",,"620159365","221872043","160942395","237344927","583429889","571411704","8715285","3302900","36729476",,"19188185","17564728","1623457","136527069","113134921","17493036","5899112","-117338884","-80609408"
,"",,"160498186","57894000","45001107","57603079","149220342","144839834","3302967","1077541","11277844",,"348765","348765","0","22011054","20142686","1130868","737500","-21662289","-10384445"
,"",,"128015990","56072669","26490449","45452872","119582340","117936919","880700","764721","8433650",,"9510134","9510134","0","39925982","23790643","14735339","1400000","-30415848","-21982198"
,"",,"92799139","36072581","22854627","33871931","87902436","86664186","770000","468250","4896703",,"711114","711114","0","23965882","22683768","82114","1200000","-23254768","-18358065"
,"",,"69675828","22762149","16788518","30125161","64279485","62518648","1221437","539400","5396343",,"3623457","2000000","1623457","15819800","15108800","1000","710000","-12196343","-6800000"
,"",,"110029472","27440000","34721668","47867804","108209746","105795767","2160991","252988","1819726",,"4943715","4943715","0","18763441","16801392","1043715","918334","-13819726","-12000000"
,"桃園縣",,"59140750","21630644","15086026","22424080","54235540","53656350","379190","200000","4905210",,"51000","51000","0","16040910","14607632","500000","933278","-15989910","-11084700"
