,,,"","",,,,
,,,"","",,,,
,,,"","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","945950894","100","952788142","100","934503481","100","-6837248","-0.717604228957753"
"","495774372","52.41","483304205","50.73","471976584","50.51","12470167","2.58019004821197"
"","2","0","2","0","6517","0","0","0"
"","15516599","1.64","15393004","1.62","18087605","1.94","123595","0.802929694554747"
"","33964295","3.59","33749548","3.54","33138302","3.55","214747","0.636295929059554"
"","135688","0.01","98778","0.01","128774","0.01","36910","37.3666200975926"
"","37348497","3.95","43947484","4.61","24679376","2.64","-6598987","-15.0156195517359"
"","35620583","3.77","41627727","4.37","36597720","3.92","-6007144","-14.4306317757873"
"","301232663","31.84","305603996","32.07","319808533","34.22","-4371333","-1.43039130941207"
"","9900195","1.05","9469454","0.99","10319445","1.1","430741","4.54874166979427"
"","0","0","0","0","0","0","0","0"
"","16458000","1.74","19593944","2.06","19760625","2.11","-3135944","-16.0046593988428"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","1037805490","100","1026198748","100","997415501","100","11606742","1.1310423076057"
"","110804356","10.68","112090477","10.93","108382834","10.86","-1286121","-1.14739542057618"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","354939018","34.2","343982867","33.52","334186901","33.51","10956151","3.18508625024048"
"","154784792","14.91","153362561","14.94","140229433","14.06","1422231","0.927365186605093"
"","157763272","15.2","155404491","15.14","175438263","17.59","2358781","1.51783322658288"
"","55636549","5.36","53041122","5.17","56264490","5.64","2595427","4.89323547869142"
"","79756018","7.69","83011950","8.09","76697842","7.69","-3255932","-3.92224492979625"
"","87061076","8.39","86180585","8.4","82368100","8.26","880491","1.02168139146421"
"","13249957","1.28","13756792","1.34","10176142","1.02","-506835","-3.68425284034243"
"","670276","0.06","649553","0.06","698816","0.07","20723","3.19034782381114"
"","23140176","2.23","24718350","2.41","12972680","1.3","-1578174","-6.38462518736081"
,,,,,,,,
"","-91854596",,"-73410606",,"-62912020",,"-18443990",
,,,,,
,,,,"",,,,,,,,,,,,,"",,,,,,,
,,,,"",,,,,,,,,,,,,"",,,,,,,
,,,,,"",,,,,,,"",,,,,,"中華民國103年度",,,,,,""
"    項        目","N爰敫ࡑࡔފ","","","","","","","","","","","","1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","","2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","","","","","","","","",""
"",,,,,,,,,,,,,,,,,,,,,,,,
"","945950894","495774372","2","15516599","33964295","135688","37348497","35620583","301232663","9900195","0","16458000","1037805490","110804356","354939018","154784792","157763272","55636549","79756018","87061076","13249957","670276","23140176","-91854596"
"","639347550","382814438","0","11487841","28477835","135286","34059715","22992714","143904644","3660266","0","11814811","719956958","75617290","249237295","106693265","118337235","46830733","42563530","57522792","8715285","0","14439533","-80609408"
"","160846951","102895107","0","2308842","11686299","0","11816278","5931445","25378486","128706","0","701788","171231396","13580671","63823973","19101052","38033906","11772246","5414043","13316005","3302967","0","2886533","-10384445"
"","137526124","82563118","0","3573456","3300693","0","10401459","2422452","29581517","1407649","0","4275780","159508322","20447593","47598613","28828883","21738944","13109940","12227103","11039506","880700","0","3637040","-21982198"
"","93510253","58927208","0","1856075","3246567","0","1038510","3807722","21801939","416654","0","2415578","111868318","12384102","34280875","20944417","13547545","7466905","9249900","10617185","770000","0","2607389","-18358065"
"","73299285","39550667","0","774107","2269812","0","5004335","944149","23808684","226467","0","721064","80099285","9675486","29292108","14370746","9691721","2985977","4655941","6575229","1221437","0","1630640","-6800000"
"","114973187","62161668","0","1664089","6541955","135286","5650991","4971055","29161823","1463867","0","3222453","126973187","13293485","44873460","12667577","27251921","9461023","5549725","9826352","2160991","0","1888653","-12000000"
"","59191750","36716670","0","1311272","1432509","0","148142","4915891","14172195","16923","0","478148","70276450","6235953","29368266","10780590","8073198","2034642","5466818","6148515","379190","0","1789278","-11084700"
"","306603344","112959934","2","4028758","5486460","402","3288782","12627869","157328019","6239929","0","4643189","317848532","35187066","105701723","48091527","39426037","8805816","37192488","29538284","4534672","670276","8700643","-11245188"
