,,,"","總預算彙編",,,,
,,,"","",,,,
"",,,"中華民國","",,,"",
"    項        目","本年度預算數",,"上年度預算數",,"",,"本年度與上年度比較",
,"金    額","","金    額","","金    額","","金    額",""
"N爰敫ࡑࡔފ","501920462","100","475532586","100","452339972","100","26387876","5.54912045501757"
"","206914106","41.21","191741690","40.33","195781279","43.28","15172416","7.91294579702515"
"","5","0","5","0","2719","0","0","0"
"","10172024","2.03","10365590","2.18","13779237","3.05","-193566","-1.86739008585136"
"","13160312","2.62","10903580","2.29","10580916","2.34","2256732","20.6971655181142"
"","1626","0","1682","0","1633","0","-56","-3.32936979785969"
"","8761019","1.75","7130929","1.5","4382868","0.97","1630090","22.8594338830186"
"","16342623","3.26","1614691","0.34","1531435","0.34","14727932","912.120771094903"
"","233685022","46.56","239298798","50.32","209297689","46.27","-5613776","-2.34592737068408"
"","2394401","0.48","1957992","0.41","3577993","0.79","436409","22.2885997491307"
"","19000","0","0","0","0","0","19000","ERROR"
"","10470324","2.09","12517629","2.63","13404203","2.96","-2047305","-16.3553736893784"
,,,,,,,,
"1.z²Š6eeQ二爰恵ࡑࡔঊ 1.N,‚?eÙR/eúQ","549303784","100","535309121","100","488791473","100","13994663","2.61431431877283"
"","59425856","10.81","55015332","10.26","49863111","10.21","4410524","8.01689972533475"
"2.Ye²€Ñyx[‡eS/eúQ	 3.經濟發展支出	 4.","203194121","36.99","198061598","37","191578703","39.19","5132523","2.59137715328339"
"","75131188","13.68","76155160","14.23","74936325","15.33","-1023972","-1.34458649945716"
"","57444919","10.46","54858369","10.25","47449318","9.71","2586550","4.71495971744986"
"","23270847","4.24","22103288","4.13","26016732","5.32","1167559","5.28228650868595"
"","51068743","9.3","47070121","8.79","34365012","7.03","3998622","8.49503233696807"
"","57343156","10.44","55013453","10.28","53877252","11.02","2329703","4.23478780726598"
"","6702618","1.22","7417676","1.39","5054357","1.03","-715058","-9.63991956510368"
"","1858990","0.34","6670104","1.25","859053","0.18","-4811114","-72.129520019478"
"","13863346","2.52","12944020","2.42","4791610","0.98","919326","7.10232215339593"
,,,,,,,,
"","-47383322",,"-59776535",,"-36451501",,"12393213",
,,,,,

